name,total_points,saves,conceded,creativity,influence,threat,bonus,BPS,ICT_index,clean_sheets,position
Roberto Firmino,141,0,39,643.2,729.4,1415,15,615,278.8,10,FWD
Jarrod Bowen,141,0,33,493.5,529.8,812,8,434,183.7,9,MID
Kevin De Bruyne,141,0,17,1170.1,760.8,914,19,566,284.7,12,MID
Alisson Becker,140,84,32,0.1,776.4,17,13,660,79.4,10,GK
Sam Johnstone,140,166,74,10.0,1213.6,0,19,768,122.4,6,GK
Edouard Mendy,140,57,25,0.0,470.2,0,8,613,47.2,16,GK
Benjamin Chilwell,139,0,23,535.8,545.0,408,11,549,148.5,12,DEF
Joao Cancelo,138,0,21,673.0,569.8,394,18,610,163.7,14,DEF
Matt Targett,138,0,44,607.0,690.4,122,9,710,142.2,16,DEF
Chris Wood,138,0,43,323.2,595.8,1129,16,395,204.0,9,FWD
Che Adams,137,0,51,488.6,581.8,964,16,443,203.4,7,FWD
Wilfried Zaha,136,0,52,428.5,572.6,1003,11,362,200.4,6,MID
Phil Foden,135,0,16,545.8,580.8,734,17,479,186.0,6,MID
Jack Grealish,135,0,28,1029.6,707.4,917,13,531,265.3,12,MID
Bertrand Traore,135,0,31,530.6,528.4,917,7,407,197.6,11,MID
Callum Wilson,134,0,37,230.4,557.4,761,22,409,154.7,5,FWD
Lukasz Fabianski,133,103,44,0.0,745.2,0,11,634,74.4,10,GK
Raphael Dias Belloli,133,0,34,889.3,719.6,902,11,489,251.3,9,MID
James Maddison,133,0,28,770.3,588.4,668,12,473,202.5,10,MID
Youri Tielemans,133,0,50,788.2,840.4,462,11,633,209.1,11,MID
Rui Pedro Patricio,132,100,51,0.0,763.6,0,12,626,76.1,10,GK
Leandro Trossard,132,0,30,725.1,543.4,759,15,406,202.8,12,MID
Danny Ings,131,0,40,300.7,634.6,866,21,464,178.4,6,FWD
Bernd Leno,131,86,37,0.0,702.2,2,11,625,70.3,11,GK
Pierre-Emerick Aubameyang,131,0,26,361.5,493.8,823,11,358,167.4,10,MID
